262
Q;L;X;Y;Sexo;FaixaEtaria;SaudeDengue;SorotipoAtual;Ciclo
0;1199;253080;7236020;M;A;I;2;101
0;1372;249200;7237720;F;J;I;2;101
0;1048;251900;7235800;F;C;I;2;102
0;1050;248180;7235780;M;J;I;2;103
0;1162;253160;7239180;F;J;I;2;104
14;83;255360;7242150;M;A;I;2;105
1;87;253590;7240680;M;J;I;2;105
5;134;255330;7235850;M;A;I;2;106
0;776;251440;7237680;F;J;I;2;106
0;130;247080;7235760;F;C;I;2;107
0;1021;249220;7237120;F;C;I;2;107
0;1389;251680;7237880;M;J;I;2;107
0;463;253380;7242040;M;J;I;2;108
16;5;248100;7234290;M;J;I;2;108
2;85;251820;7237410;F;I;I;2;109
13;109;254760;7242120;F;I;I;2;109
0;1275;250780;7236080;M;A;I;2;110
0;1349;254920;7235820;M;A;I;2;111
0;1193;250140;7236480;M;C;I;2;111
0;1410;255020;7241520;M;A;I;2;112
0;397;251800;7233880;F;A;I;2;112
0;942;257740;7239720;M;A;I;2;113
0;883;247720;7235340;M;A;I;2;113
0;1609;252480;7236320;M;C;I;2;114
0;843;253600;7240500;M;J;I;2;114
2;124;252840;7238040;M;C;I;2;115
0;804;254880;7240200;F;J;I;2;115
0;1216;252320;7239400;F;A;I;2;116
0;202;246580;7237140;M;C;I;2;117
0;1617;248320;7236860;F;I;I;2;118
0;1160;255440;7238400;F;C;I;2;119
0;77;250720;7239480;F;J;I;2;119
14;140;255660;7242150;M;I;I;2;120
0;1019;249420;7238940;F;J;I;2;120
0;407;251820;7233140;F;J;I;2;121
0;1046;251120;7236340;F;A;I;2;122
8;38;256380;7238670;M;J;I;2;122
0;1150;255640;7235260;M;C;I;2;123
0;879;252080;7236960;M;J;I;2;124
0;1458;252840;7234460;M;A;I;2;125
0;1364;251920;7235320;M;C;I;2;126
0;759;250560;7237000;F;C;I;2;127
0;1334;247800;7234160;F;C;I;2;128
0;1427;256700;7236580;F;J;I;2;129
0;1048;251600;7235420;M;C;I;2;130
0;1046;251140;7236640;M;C;I;2;131
0;62;252380;7234100;M;J;I;2;132
17;8;246720;7234260;M;C;I;2;133
0;127;247400;7236040;M;C;I;2;134
0;1333;254420;7242020;F;A;I;2;135
0;1351;251080;7235940;F;A;I;2;136
0;468;252960;7237640;F;C;I;2;137
22;14;249270;7233840;M;J;I;2;138
0;857;247740;7234640;M;J;I;2;139
0;857;247740;7234640;M;A;I;2;140
0;1102;247680;7234500;F;C;I;2;141
30;47;252240;7235190;M;A;I;2;142
0;1295;250860;7238800;M;A;I;2;143
0;1122;248820;7238740;F;C;I;2;144
0;114;250480;7238120;M;A;I;2;145
0;114;250480;7238120;M;A;I;2;146
19;23;252570;7236300;M;A;I;2;147
0;1121;248640;7237760;F;C;I;2;148
31;36;251130;7236870;M;C;I;2;149
14;75;255390;7242600;F;C;I;2;150
0;360;247820;7238560;F;C;I;2;151
0;401;252600;7234920;M;J;I;2;152
0;242;255940;7239580;F;C;I;2;153
0;1389;251640;7237880;F;A;I;2;154
0;1620;250880;7236580;M;C;I;2;155
22;18;250050;7234080;F;J;I;2;156
0;1388;255740;7238480;M;A;I;2;157
0;1509;250580;7238160;F;A;I;2;158
0;1621;251580;7237920;F;C;I;2;159
0;892;248120;7238020;M;C;I;2;160
0;190;253160;7239020;F;C;I;2;161
0;1436;251400;7235100;M;A;I;2;162
0;1618;251040;7239980;M;J;I;2;163
30;85;251430;7235250;F;A;I;2;164
0;1046;251220;7238340;F;A;I;2;165
0;47;254760;7237680;F;C;I;2;166
0;1226;253880;7241080;F;J;I;2;167
0;133;248940;7238600;M;C;I;2;168
