id;quadra;lote;x;y;refinamento
1;0000;L1;247840;7234680;20
2;0000;L1;247860;7234680;20
3;0000;L1;247880;7234660;20
4;0000;L1;247900;7234660;20
5;0000;L1;247920;7234660;20
6;0000;L1;247940;7234660;20
7;0000;L1;247960;7234660;20
9;0000;L10;249460;7238200;20
10;0000;L10;249460;7238220;20
11;0000;L10;249460;7238240;20
