q;l;x;y;refinamento
Q1;L1;253296.814756855;7240970.47431672;30
Q1;L220;253047.04003247;7240845.98292647;30
Q1;L221;253053.862848907;7240755.88997798;30
Q1;L222;253175.851713258;7240856.71408215;30
Q1;L223;253185.017439364;7240768.2980175;30
Q1;L224;253167.640207549;7240960.81444652;30
Q1;L225;253080.417641339;7241950.36801776;30
Q1;L226;253076.42118822;7242003.73476415;30
Q1;L227;253084.759237655;7241896.33169226;30
Q1;L228;253088.090818863;7241842.48403107;30
