0;1022;0;0;0;0;0;885;0;0;0;0;0;2188;0;0;0;0;0;376;0;0;0;0;0;1016;0;0;0;0;0;878;0;0;0;0;0;2341;0;0;0;0;0;478;0;0;0;0;0
1;964;0;0;0;0;0;840;0;0;0;0;0;2063;0;0;0;0;0;354;0;0;0;0;0;962;0;0;0;0;0;833;0;0;0;0;0;2211;0;0;0;0;0;444;0;0;0;0;0
2;900;0;0;0;0;0;796;0;0;0;0;0;1961;0;0;0;0;0;335;0;0;0;0;0;903;0;0;0;0;0;785;0;0;0;0;0;2125;0;0;0;0;0;428;0;0;0;0;0
3;868;0;0;0;0;0;761;0;0;0;0;0;1865;0;0;0;0;0;321;0;0;0;0;0;869;0;0;0;0;0;755;0;0;0;0;0;2040;0;0;0;0;0;405;0;0;0;0;0
4;834;0;0;0;0;0;737;0;0;0;0;0;1784;0;0;0;0;0;303;0;0;0;0;0;843;0;0;0;0;0;723;0;0;0;0;0;1956;0;0;0;0;0;383;0;0;0;0;0
5;805;0;0;0;0;0;708;0;0;0;0;0;1731;0;0;0;0;0;294;0;0;0;0;0;815;0;0;0;0;0;689;0;0;0;0;0;1873;0;0;0;0;0;369;0;0;0;0;0
6;770;0;0;0;0;0;687;0;0;0;0;0;1659;0;0;0;0;0;282;0;0;0;0;0;790;0;0;0;0;0;660;0;0;0;0;0;1793;0;0;0;0;0;353;0;0;0;0;0
7;740;0;0;0;0;0;669;0;0;0;0;0;1601;0;0;0;0;0;266;0;0;0;0;0;755;0;0;0;0;0;627;0;0;0;0;0;1722;0;0;0;0;0;334;0;0;0;0;0
8;720;0;0;0;0;0;644;0;0;0;0;0;1555;0;0;0;0;0;248;0;0;0;0;0;721;0;0;0;0;0;617;0;0;0;0;0;1646;0;0;0;0;0;316;0;0;0;0;0
9;688;0;0;0;0;0;613;0;0;0;0;0;1503;0;0;0;0;0;242;0;0;0;0;0;689;0;0;0;0;0;594;0;0;0;0;0;1589;0;0;0;0;0;302;0;0;0;0;0
10;662;0;0;0;0;0;592;0;0;0;0;0;1443;0;0;0;0;0;237;0;0;0;0;0;664;0;0;0;0;0;579;0;0;0;0;0;1533;0;0;0;0;0;294;0;0;0;0;0
11;636;0;0;0;0;0;574;0;0;0;0;0;1407;0;0;0;0;0;234;0;0;0;0;0;647;0;0;0;0;0;555;0;0;0;0;0;1500;0;0;0;0;0;286;0;0;0;0;0
12;622;0;0;0;0;0;551;0;0;0;0;0;1380;0;0;0;0;0;229;0;0;0;0;0;622;0;0;0;0;0;542;0;0;0;0;0;1468;0;0;0;0;0;278;0;0;0;0;0
13;614;0;0;0;0;0;532;0;0;0;0;0;1338;0;0;0;0;0;219;0;0;0;0;0;609;0;0;0;0;0;530;0;0;0;0;0;1443;0;0;0;0;0;268;0;0;0;0;0
14;596;0;0;0;0;0;515;0;0;0;0;0;1307;0;0;0;0;0;217;0;0;0;0;0;596;0;0;0;0;0;519;0;0;0;0;0;1414;0;0;0;0;0;264;0;0;0;0;0
15;580;0;0;0;0;0;504;0;0;0;0;0;1276;0;0;0;0;0;211;0;0;0;0;0;587;0;0;0;0;0;504;0;0;0;0;0;1383;0;0;0;0;0;261;0;0;0;0;0
16;560;0;0;0;0;0;506;0;0;0;0;0;1245;0;0;0;0;0;202;0;0;0;0;0;569;0;0;0;0;0;507;0;0;0;0;0;1354;0;0;0;0;0;260;0;0;0;0;0
17;533;0;0;0;0;0;491;0;0;0;0;0;1213;0;0;0;0;0;209;0;0;0;0;0;564;0;0;0;0;0;499;0;0;0;0;0;1337;0;0;0;0;0;264;0;0;0;0;0
18;528;0;0;0;0;0;485;0;0;0;0;0;1197;0;0;0;0;0;208;0;0;0;0;0;547;0;0;0;0;0;503;0;0;0;0;0;1313;0;0;0;0;0;259;0;0;0;0;0
19;532;0;0;0;0;0;474;0;0;0;0;0;1186;0;0;0;0;0;205;0;0;0;0;0;547;0;0;0;0;0;494;0;0;0;0;0;1291;0;0;0;0;0;258;0;0;0;0;0
20;528;0;0;0;0;0;464;0;0;0;0;0;1176;0;0;0;0;0;204;0;0;0;0;0;534;0;0;0;0;0;488;0;0;0;0;0;1280;0;0;0;0;0;249;0;0;0;0;0
21;511;0;0;0;0;0;460;0;0;0;0;0;1167;0;0;0;0;0;205;0;0;0;0;0;534;0;0;0;0;0;489;0;0;0;0;0;1273;0;0;0;0;0;244;0;0;0;0;0
22;517;0;0;0;0;0;465;0;0;0;0;0;1153;0;0;0;0;0;202;0;0;0;0;0;534;0;0;0;0;0;474;0;0;0;0;0;1253;0;0;0;0;0;238;0;0;0;0;0
23;522;0;0;0;0;0;466;0;0;0;0;0;1145;0;0;0;0;0;197;0;0;0;0;0;529;0;0;0;0;0;466;0;0;0;0;0;1232;0;0;0;0;0;235;0;0;0;0;0
24;533;0;0;0;0;0;464;0;0;0;0;0;1147;0;0;0;0;0;200;0;0;0;0;0;521;0;0;0;0;0;451;0;0;0;0;0;1222;0;0;0;0;0;236;0;0;0;0;0
