262
Q;L;X;Y;Sexo;FaixaEtaria;SaudeDengue;SorotipoAtual;Ciclo
0;627;256755;7239390;F;A;I;2;101
0;1509;251610;7238100;F;J;I;2;101
0;1002;253530;7238655;M;A;I;2;102
0;1399;254280;7240050;M;J;I;2;103
0;1220;256095;7238805;F;J;I;2;104
0;1613;249450;7236870;M;C;I;2;105
0;28;246960;7237470;M;C;I;2;105
0;192;253890;7237935;M;C;I;2;106
0;987;248025;7236255;F;C;I;2;106
0;33;247050;7235805;M;A;I;2;107
0;1431;250215;7235850;F;A;I;2;107
0;1065;250695;7233495;F;A;I;2;107
0;894;247605;7237020;F;C;I;2;108
0;55;254895;7236720;M;J;I;2;108
0;420;249615;7235610;M;C;I;2;109
26;39;254200;7238900;M;J;I;2;109
0;1609;252465;7236330;M;C;I;2;110
0;1033;253995;7239570;M;A;I;2;111
0;976;252360;7237710;F;A;I;2;111
9;157;248100;7236475;M;C;I;2;112
0;1046;251100;7235715;M;J;I;2;112
0;883;247725;7235340;M;A;I;2;113
0;1209;254985;7238025;F;A;I;2;113
0;1509;248685;7238250;M;C;I;2;114
0;1046;251235;7238895;F;J;I;2;114
0;77;250035;7239510;M;A;I;2;115
8;70;256300;7239500;M;A;I;2;115
0;1421;249660;7234725;F;C;I;2;116
29;24;248275;7237875;F;J;I;2;117
0;1392;250725;7238025;F;A;I;2;118
0;57;248235;7237560;F;C;I;2;119
0;1218;250725;7239480;M;J;I;2;119
0;1295;250875;7239195;F;A;I;2;120
0;993;254145;7239885;F;A;I;2;120
0;1322;256920;7238325;F;C;I;2;121
16;59;247725;7234600;F;J;I;2;122
0;235;256395;7238685;F;J;I;2;122
0;378;248505;7239915;F;C;I;2;123
0;426;249900;7235580;F;A;I;2;124
0;1393;251250;7238250;F;A;I;2;125
0;347;246540;7237080;M;A;I;2;126
0;1462;251805;7239480;M;C;I;2;127
0;266;248190;7233840;M;C;I;2;128
0;778;251730;7237920;M;J;I;2;129
0;1053;249720;7239000;F;A;I;2;130
0;138;253170;7238355;F;I;I;2;131
0;62;252375;7234095;F;J;I;2;132
0;1363;251010;7236675;F;C;I;2;133
0;1620;250860;7235985;F;C;I;2;134
0;1412;255825;7241805;M;C;I;2;135
0;902;246465;7234500;M;A;I;2;136
0;468;252960;7237635;M;C;I;2;137
22;14;249250;7233825;M;J;I;2;138
0;1046;251175;7237320;M;C;I;2;139
0;792;248565;7238985;F;A;I;2;140
0;1295;250860;7238790;F;C;I;2;141
27;73;257400;7240175;M;A;I;2;142
0;1295;250860;7238790;M;A;I;2;143
0;1295;250860;7238790;M;C;I;2;144
0;1351;250665;7235955;F;A;I;2;145
30;112;251825;7234925;M;A;I;2;146
16;10;248200;7234150;F;C;I;2;147
0;1372;248625;7237740;M;A;I;2;148
0;133;248925;7238415;M;C;I;2;149
12;6;257350;7237000;F;A;I;2;150
0;401;252600;7234920;M;J;I;2;151
0;1048;251970;7237485;M;A;I;2;152
0;859;250830;7233435;F;A;I;2;153
0;1389;251640;7237875;F;A;I;2;154
0;1311;255555;7237440;M;C;I;2;155
0;1557;250335;7235055;F;J;I;2;156
0;579;250875;7238910;F;A;I;2;157
0;1161;255120;7237800;F;C;I;2;158
0;1248;250020;7236780;F;C;I;2;159
0;138;253455;7237935;M;A;I;2;160
0;457;252840;7237875;F;A;I;2;161
0;1286;256530;7236180;F;A;I;2;162
0;379;252300;7234290;F;C;I;2;163
30;85;251425;7235250;M;A;I;2;164
2;66;252825;7238625;F;C;I;2;165
0;1507;254745;7237695;F;C;I;2;166
23;168;253650;7234575;F;I;I;2;167
0;65;249675;7234155;F;C;I;2;168
2;64;253000;7238575;M;C;I;2;169
0;443;247215;7238145;F;A;I;2;170
0;135;251865;7238895;F;C;I;2;171
0;863;250095;7234110;M;C;I;2;172
0;127;247545;7236765;M;C;I;2;173
0;1602;249405;7236195;F;C;I;2;174
0;771;250725;7235235;F;J;I;2;175
0;1572;254640;7239540;M;I;I;2;176
0;423;250185;7236900;M;C;I;2;177
0;1153;253155;7236345;F;C;I;2;178
0;1212;252855;7238505;F;C;I;2;179
30;156;250425;7235050;M;A;I;2;180
0;1338;251145;7233105;M;C;I;2;181
0;1212;253080;7238670;F;A;I;2;182
0;983;249135;7237200;M;C;I;2;183
26;74;255550;7238450;F;C;I;2;184
0;1393;250755;7238280;M;C;I;2;185
0;1389;251865;7237875;M;C;I;2;186
0;88;257145;7237320;F;A;I;2;191
0;1613;249735;7237545;M;I;I;2;193
0;118;251295;7237140;M;A;I;2;194
0;804;254865;7240665;F;A;I;2;195
0;804;254865;7240290;M;C;I;2;196
0;1556;249975;7238700;F;A;I;2;198
0;1074;252945;7236060;M;A;I;2;200
0;100;254040;7241235;M;C;I;2;201
2;66;252825;7238625;M;A;I;2;203
0;1154;252600;7235715;M;J;I;2;204
0;1553;254445;7239915;M;A;I;2;205
0;917;249330;7239720;M;A;I;2;206
0;761;248130;7237425;M;J;I;2;210
0;795;248520;7239510;F;J;I;2;212
0;1613;249255;7236525;M;A;I;2;213
